sid,source
624,"#include<iostream>
#include<cstdio>
using namespace std;
struct NBA
{
	char name[100];
	int year;
} nba[10000],temp;
int main()
{
//	freopen(""in.1"",""r"",stdin);
//	freopen(""out.1"",""w"",stdout);
	int n,i,j,k;
	cin>>n;
//	getchar();
	for(i=0;i<n;i++)
	{
	     cin>>nba[i].name;
	     cin>>nba[i].year;
	}
	for(i=0;i<n-1;i++)
	{
		k=i;
		for(j=i+1;j<n;j++)
		  if(nba[k].year>nba[j].year)k=j;
		  if(k!=i)
		  {
		  	temp=nba[i];
		  	nba[i]=nba[k];
		  	nba[k]=temp;
		  }
	}
	for(i=0;i<n;i++)
	   cout<<nba[i].year<<"" ""<<nba[i].name<<endl;
	return 0;
}
"
625,"#include<iostream>
#include<cstring>
using namespace std;

class NBA
{
	public:
		string name;
		int year;
}Data[100];

int main()
{
	int n;
	cin>>n;
	for(int i=1;i<=n;i++)
		cin>>Data[i].name>>Data[i].year;
	for(int i=1;i<n;i++)
		for(int j=1;j<n;j++)
			if(Data[j].year>Data[j+1].year)
			{
				class NBA temp=Data[j];
				Data[j]=Data[j+1];
				Data[j+1]=temp;
			}
	for(int i=1;i<=n;i++)
		cout<<Data[i].year<<' '<<Data[i].name<<endl;
	return 0;
}
"
626,"#include<iostream>
#include<cstring>
#include<memory>
using namespace std;
int main()
{
	char a[45],b[45];
	scanf(""%s"",a);
	scanf(""%s"",b);
	int x[45],y[45],i,m,n,j;
	memset(x,0,sizeof(x));
	memset(y,0,sizeof(y));
	m=strlen(a);
	n=strlen(b);
	j=0;
	for(i=m-1;i>=0;i--)
		x[j++]=a[i]-'0';
	j=0;
	for(i=n-1;i>=0;i--)
		y[j++]=b[i]-'0';
	for(i=0;i<45;i++)
	{
		x[i]+=y[i];
		if(x[i]>=10)
		{
			x[i]-=10;
			x[i+1]+=1;
		}
	}
	for(i=44;i>=0;i--)
		if(x[i]!=0)break;
	for(;i>=0;i--)
		cout<<x[i];
	cout<<endl;
	return 0;
}
		
	
	

"
627,"#include<iostream>
using namespace std;
struct NBA
{
	int year;
	char city[20];
}nba[100];
int main()
{
int i,n,temp;
cin>>n;
for(i=0;i<n;i++)
{
cin>>nba[i].city;
cin>>nba[i].year;
}
//排序
for(i=0;i<n;i++)
{
for(int j=i+1;j<n;j++)
if(nba[i].year>nba[j].year)
{
temp=nba[i].year;
nba[i].year=nba[j].year;
nba[j].year=temp;
}
}
for(i=0;i<n;i++)
{
	cout<<nba[i].year<<"" ""<<nba[i].city<<endl;
}
return 0;
}"
628,"#include<stdio.h>
#include<string.h>
int main(){
	char a1[200],a2[200];
	int ans1[200],ans2[200],ans[200],i,t,j,b1,b2;
	memset(ans1,0,sizeof(ans1));
	memset(ans2,0,sizeof(ans2));
	memset(ans,0,sizeof(ans)); 
	scanf(""%s"",a1);
	scanf(""%s"",a2);
	b1=strlen(a1);
	b2=strlen(a2);
	if(b1>b2){
		for(i=b1-1;i>=0;i--)
			ans1[b1-1-i]=a1[i]-'0';
		for(i=b2-1;i>=0;i--)
			ans2[b2-1-i]=a2[i]-'0';
	}
	else{
		for(i=b2-1;i>=0;i--)
			ans1[b2-1-i]=a2[i]-'0';
		for(i=b1-1;i>=0;i--)
			ans2[b1-1-i]=a1[i]-'0';
	}
	if(b1<b2){
		t=b1;
		b1=b2;
		b2=t;
	}
	for(i=0;i<b2;i++){
		for(j=0;j<b1;j++){
			t=ans1[j]*ans2[i];
			ans[j+i]=ans[j+i]+t;			
		}
	}
	t=b1+b2;
	for(i=0;i<t;i++){
		if(ans[i]>10){
			ans[i+1]=ans[i+1]+ans[i]/10;
		}
			ans[i]=ans[i]%10;	
	}
	for(i=t-1;i>=0;i--){
		printf(""%d"",ans[i]);
	}
	printf(""\n"");
	return 0;
}"
629,"#include<iostream>
#include<stdio.h>
#include<string.h>
using namespace std;
int main()
{
  int n,i,j,k,p;
  char a[110];
  cin>>n;
  getchar();
  for(i=1;i<=n;i++)
  {  j=0;
    gets(a);
     p=strlen(a);
	 k=p-1;
	while(a[j]==a[k]&&(j!=k))
	{
       j++;k--;
	}
    if(j==k)
	  cout<<""Yes""<<endl;
	else
	  cout<<""No""<<endl;
  }
  return 0;
}
  
 
"
630,"#include<iostream>
#include<string.h>
using namespace std;
int a[102],b[102],c[102],i,j,p;
char s1[101],s2[101];
int change (char s[],int a[])//定义一个新函数，用于转换字符串到数组里 
{
   int len;
   len=strlen(s);
   for(int i=len-1,j=1;i>=0;i--,j++)
   a[j]=s[i]-'0';
   a[0]=len;
   return 0;
}
int jian(int a[],int b[],int c[])//已经是a>b的前提 
{
    for(i=1;i<=a[0];i++)
    {
    c[i]=a[i]+10-b[i];
    a[i+1]=a[i+1]-1+c[i]/10;
    c[i]=c[i]%10;
     }
    c[0]=a[0];
    while(c[0]==0&&c[0]>0) c[0]--;//处理答案的输出位数 
    return 0;
}
int out(int a[])
{  
    for(i=a[0];i>0;i--)
    cout<<a[i];//输出的函数 
    return 0;
} 
int main()
{   memset(a,0,sizeof(a));
    memset(b,0,sizeof(a));
    memset(c,0,sizeof(a));
    while(cin>>s1>>s2)//s1必须大于s2
    {
	  change(s1,a);
      change(s2,b);
      jian(a,b,c); 
      out(c);
    }
    return 0;
}"
631,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char b[1000];
	scanf(""%d"",&n);
	while(n--)
	{
		i=0;
		gets(b);
		while(b[i]!='\0')
			i++;
		i=i-1;
		for(j=i;j>=0;j--)
		{
			printf(""%c"",b[i--]);	
		}
		printf(""\n"");
	}
	return 0;
}"
632,"#include<stdio.h>
#include<string.h>
#define MAX_LEN 200
int an1[MAX_LEN+10];
int an2[MAX_LEN+10];
char szLine1[MAX_LEN+10];
char szLine2[MAX_LEN+10];

int main()
{
	scanf(""%s"",&szLine1);
	scanf(""%s"",&szLine2);
	int i,j;
	memset(an1,0,sizeof(an1));
	memset(an2,0,sizeof(an2));
	int nLen1=strlen(szLine1);
	j=0;
	for(i=nLen1-1;i>=0;i--)
		an1[j++]=szLine1[i]-'0';
	int nLen2=strlen(szLine2);
	j=0;
	for(i=nLen2-1;i>=0;i--)
		an2[j++]=szLine2[i]-'0';
	for(i=0;i<MAX_LEN;i++)
	{
		an1[i]+=an2[i];
		if(an1[i]>=10){
			an1[i]-=10;
			an1[i+1]++;
		}
	}
	bool bStartOutput=false;
	for(i=MAX_LEN;i>=0;i--){
		if(bStartOutput)
			printf(""%d"",an1[i]);
		else if(an1[i]){
			printf(""%d"",an1[i]);
			bStartOutput=true;
		}
	}
	return 0;
}
"
633,"#include<stdio.h>
 #include<string.h>
 int main()
 {
     char a[10000],b[10000];
     int c[10000],l,n,m,i,t,num=0,shang;
   
        num++;
        while(scanf(""%s%*c%s"",a,b)!=EOF)
		{
        n=strlen(a)-1;m=strlen(b)-1;l=0;shang=0;
        while(n>=0&&m>=0)
        {
           c[l++]=(shang+(a[n]-48+b[m]-48))%10;
           shang=(shang+(a[n]-48+b[m]-48))/10;
           n--;m--;
        }
        while(n>=0)
        {
            c[l++]=(shang+a[n]-48)%10;
            shang=(shang+a[n]-48)/10;
            n--;
        }
        while(m>=0)
        {
           c[l++]=(shang+b[m]-48)%10;
           shang=(shang+b[m]-48)/10;
           m--;
        }
        i=l;
       if(shang!=0) printf(""%d"",shang);
        for(i=l-1;i>=0;i--)
            printf(""%d"",c[i]);
        printf(""\n"");
		}
   return 0;
 }"
634,"#include<stdio.h>
#include<stdlib.h>
struct stu
{
    int m;
    char string[10];
};
typedef struct stu st;
int main(void)
{
    int i,j,n,k;
    st *p;
    char a[10];
    scanf(""%d"",&n);
    p=(st *)malloc(sizeof(st)*n);
    for(i=0;i<n;i++)
    {
        scanf(""%s"",(p+i)->string);
        scanf(""%d"",&(p+i)->m);
    }
    for(i=0;i<n-1;i++)
    {
        for(j=i;j<n;j++)
        {
            if(((p+i)->m)>((p+j)->m))
            {
                k=(p+i)->m;
                (p+i)->m=(p+j)->m;
                (p+j)->m=k;

                a[10]=(p+i)->string[10];
                (p+i)->string[10]=(p+j)->string[10];
                (p+j)->string[10]=a[10];
            }
        }
    }
    for(i=0;i<n;i++)
    printf(""%d %s\n"",(p+i)->m,(p+i)->string);
    return 0;
} "
635,"#include<iostream>
#include<stdio.h>
#include<string.h>
using namespace std;
int main()
{
  int n,i,j,k,p;
  char a[1001];
  cin>>n;
  getchar();
  for(i=1;i<=n;i++)
  {  j=0;
    gets(a);
     p=strlen(a);
	 k=p-1;
	while(a[j]==a[k]&&(j!=k))
	{
       j++;k--;
	}
    if(j==k)
	  cout<<""Yes""<<endl;
	else
	  cout<<""No""<<endl;
  }
  return 0;
}
  
 
"
636,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char b[1000];
	scanf(""%d"",&n);
	n=n+1;
	while(n--)
	{
		i=0;
		gets(b);
		while(b[i]!='\0')
			i++;
		i=i-1;
		for(j=i;j>=0;j--)
		{
			printf(""%c"",b[i--]);	
		}
		printf(""\n"");
	}
	return 0;
}"
637,"#include<iostream>
#include<string.h>
using namespace std;
int a[102],b[102],c[102],i,j,p;
char s1[101],s2[101];
int change (char s[],int a[])//定义一个新函数，用于转换字符串到数组里 
{
   int len;
   len=strlen(s);
   for(int i=len-1,j=1;i>=0;i--,j++)
   a[j]=s[i]-'0';
   a[0]=len;
   return 0;
}
int jian(int a[],int b[],int c[])//已经是a>b的前提 
{
    for(i=1;i<=a[0];i++)
    {
    c[i]=a[i]+10-b[i];
    a[i+1]=a[i+1]-1+c[i]/10;
    c[i]=c[i]%10;
     }
    c[0]=a[0];
    while(c[0]==0&&c[0]>0) c[0]--;//处理答案的输出位数 
    return 0;
}
int out(int a[])
{  
    for(i=a[0];i>0;i--)
    cout<<a[i];//输出的函数 
    return 0;
} 
int main()
{   memset(a,0,sizeof(a));
    memset(b,0,sizeof(a));
    memset(c,0,sizeof(a));
    while(cin>>s1>>s2)//s1必须大于s2
    {
	  change(s1,a);
      change(s2,b);
      jian(a,b,c); 
      out(c);
      cout<<endl;
    }
    return 0;
}"
638,"#include<iostream>
#include<cstring>
#include<memory>
using namespace std;
int main()
{
	char a[45],b[45];
	gets(a);
	gets(b);
	int x[45],y[45],i,m,n,j;
	memset(x,0,sizeof(x));
	memset(y,0,sizeof(y));
	m=strlen(a);
	n=strlen(b);
	j=0;
	for(i=m-1;i>=0;i--)
		x[j++]=a[i]-'0';
	j=0;
	for(i=n-1;i>=0;i--)
		y[j++]=b[i]-'0';
	for(i=0;i<45;i++)
	{
		x[i]+=y[i];
		if(x[i]>=10)
		{
			x[i]-=10;
			x[i+1]+=1;
		}
	}
	for(i=44;i>=0;i--)
		if(x[i]!=0)break;
	for(;i>=0;i--)
		cout<<x[i];
	cout<<endl;
	return 0;
}
		
	
	

"
639,"#include<iostream>
#include<cstdio>
using namespace std;
struct NBA
{
	char name[20];
	int year;
}nba[70],temp;

int main()
{
	int n,i,j,m;
	cin>>n;
	getchar();
	for( i=0;i<n;i++)
	{
		cin>>nba[i].name;
		cin>>nba[i].year;
	}

	for( m=1;m<=n;m++)
	{
		for( j=1;j<=n-m;j++)
		{
			if(nba[j-1].year<nba[j].year)
			{
				temp=nba[j-1];
				nba[j-1]=nba[j];
				nba[j]=temp;
			}
		}
	}


	for(i=0;i<n;i++)
	{
		cout<<nba[i].year<<"" ""<<nba[i].name<<endl;
	}
}
"
640,"#include<iostream>
#include<cstring>
#include<memory>
using namespace std;
int main()
{
	char a[110],b[110];
	gets(a);
	gets(b);
	int x[110],y[110],i,m,n,j;
	memset(x,0,sizeof(x));
	memset(y,0,sizeof(y));
	m=strlen(a);
	n=strlen(b);
	j=0;
	for(i=m-1;i>=0;i--)
		x[j++]=a[i]-'0';
	j=0;
	for(i=n-1;i>=0;i--)
		y[j++]=b[i]-'0';
	for(i=0;i<110;i++)
	{
		x[i]+=y[i];
		if(x[i]>=10)
		{
			x[i]-=10;
			x[i+1]+=1;
		}
	}
	for(i=109;i>=0;i--)
		if(x[i]!=0)break;
	for(;i>=0;i--)
		cout<<x[i];
	cout<<endl;
	return 0;
}
		
	
	

"
641,"#include<stdio.h>
#include<string.h>
long a,b,c,d,e,arr1[401]={0},arr2[401]={0},arr[401]={0},h1,h2;
char ss[1000];
int main()
{
	scanf(""%s"",ss);
	for (a=401-strlen(ss);a<401;a++)
		arr1[a]=ss[a-401+strlen(ss)]-48;
	scanf(""%s"",ss);
	for (a=401-strlen(ss);a<401;a++)
		arr2[a]=ss[a-401+strlen(ss)]-48;
	for (a=0;a<401;a++)
		if (arr1[a]!=0)
		{
			h1=a;
			break;
		}
     for (a=0;a<401;a++)
			if (arr2[a]!=0)
			{
				h2=a;
				break;
			}		   
			for (b=400;b>=h2;b--)
		   {
			   for (c=400;c>=h1;c--)
			   {
				   arr[b-400+c]+=arr1[c]*arr2[b];
				   e=arr[b-400+c]/10;
				   arr[b+c-400]%=10;
				   arr[b+c-401]+=e;
			   }
		   }
for (a=0;a<401;a++)
if (arr[a]!=0)
{
	for (b=a;b<401;b++)
		printf(""%ld"",arr[b]);
	printf(""\n"");
	break;
}
return(0);
}"
642,"import java.math.BigInteger;
import java.util.Scanner;
public class Main {
	public static void main(String[] args) {
		Scanner cin=new Scanner(System.in);
		while(cin.hasNext()){
			BigInteger a=cin.nextBigInteger();
			BigInteger b=cin.nextBigInteger();
			System.out.println(a.multiply(b));
			}
			
		}
	
}
"
643,"#include<stdio.h>
#include<string.h>
int main()
{
	char add1[100],add2[100];
	scanf(""%s %s"",&add1,&add2);
	int res[100];
	int c=0,str1,str2,i,j,str3;
	str1=strlen(add1);
	str2=strlen(add2);
	if(str1>str2)
	{
		str3=str1;
		for(i=str3-1,j=str2-1;j>=0;j--,i--)
			add2[i]=add2[j];
		while(i>=0)
		{
			add2[i]='0';
			i--;
		}
	}
	else
	{
		str3=str2;
		for(i=str3-1,j=str1-1;j>=0;j--,i--)
			add1[i]=add1[j];
		while(i>=0)
		{
			add1[i]='0';
			i--;
		}
	}
	for(i=str3-1; i>=0; i--)
	{
		res[i]=add1[i]+add2[i]+c-'0'-'0';
		if(res[i]>9)
		{
			res[i]-=10;
			c=1;
		}
		else
			c=0;
	}
	if(c==1)
		printf(""1"");
	for(i=0;i<str3;i++)
		printf(""%d"",res[i]);
	printf(""\n"");
	return 0;
}"
644,"#include<stdio.h>
#include<string.h>
int main()
{
	char add1[100],add2[100];
	scanf(""%s %s"",&add1,&add2);
	int res[100];
	int c=0,str1,str2,i,j,str3;
	str1=strlen(add1);
	str2=strlen(add2);
	if(str1>str2)
	{
		str3=str1;
		for(i=str3-1,j=str2-1;j>=0;j--,i--)
			add2[i]=add2[j];
		while(i>=0)
		{
			add2[i]='0';
			i--;
		}
	}
	else
	{
		str3=str2;
		for(i=str3-1,j=str1-1;j>=0;j--,i--)
			add1[i]=add1[j];
		while(i>=0)
		{
			add1[i]='0';
			i--;
		}
	}
	for(i=str3-1; i>=0; i--)
	{
		res[i]=add1[i]+add2[i]+c-'0'-'0';
		if(res[i]>9)
		{
			res[i]-=10;
			c=1;
		}
		else
			c=0;
	}
	if(c==1)
		printf(""1"");
	for(i=0;i<str3;i++)
		printf(""%d"",res[i]);
	printf(""\n"");
	return 0;
}"
645,"#include<stdio.h>
struct NBA{
	int year;
	char name[20];
}nba[100],temp;
int main(){
	int n,i,j;
	scanf(""%d"",&n);
	for(i=0;i<n;i++){
		scanf(""%s %d"",&nba[i].name,&nba[i].year);
	}
	for(i=0;i<n;i++)
		for(j=i+1;j<n;j++)
			if(nba[i].year>nba[j].year){
			temp=nba[i];
			nba[i]=nba[j];
			nba[j]=temp;
			}

	for(i=0;i<n;i++)
		printf(""%d %s\n"",nba[i].year,nba[i].name);
return 0;
}
"
646,"#include <iostream.h>
#include <string.h>

int main()
{
	char a[100],b[100];
	int ai[100],bi[100],ci[100];
	int lena,lenb;
	int i,j;
	int sumh,carry,maxlen,minlen;
	
	carry=0;
	cin>>a>>b;
	lena=strlen(a);
	lenb=strlen(b);
	minlen=lena>lenb?lenb:lena;
	maxlen=lena>lenb?lena:lenb;
	for(i=0;i<maxlen;i++)
	{
		ai[i]=a[lena-i-1]-'0';
		bi[i]=b[lenb-i-1]-'0';
	}
	for(i=0;i<minlen;i++)
	{
		sumh=ai[i]+bi[i]+carry;
		ci[i]=sumh%10;
		carry=sumh/10;
	}
	if(lena>lenb)
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=ai[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	else
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=bi[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	if(carry>0)
	{
		ci[maxlen]=carry;
		for(i=maxlen;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}
	else
	{
		for(i=maxlen-1;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}

	return 0;
}"
647,"#include<iostream>
using namespace std;
struct  studenttype //定义学生信息结构体类型
{
    char name[40];
    long int score;
    long int classs;
    char cadre[2];
    char west[2];
    long int thesis;
    long int money;    
};
struct studenttype student[100];
int main()
{
//	freopen(""in.1"",""r"",stdin);
//	freopen(""out.1"",""w"",stdout);
    long int n,i,h,id;
    long int sum;
    char ch;
    cin>>n;
    for(i = 0 ; i <n ;i++)//读入学生信息数据
    {
        cin>>student[i].name;
        cin>>student[i].score;
        cin>>student[i].classs;
        cin>>student[i].cadre;
        cin>>student[i].west;
        cin>>student[i].thesis;
    }
sum = 0;h = 0;id=0;
    for(i = 0 ; i<n ;i++){ //计算每个学生获得的奖学金和发放奖学金总额
        student[i].money = 0;
        if (student[i].score>80 && student[i].thesis>=1) student[i].money += 8000;
        if (student[i].score>85 && student[i].classs>80) student[i].money += 4000;
        if (student[i].score>90)  student[i].money += 2000;
        if (student[i].score>85 && student[i].west[0]=='Y') student[i].money += 1000;
        if (student[i].classs>80 && student[i].cadre[0]=='Y') student[i].money += 850;
        sum += student[i].money;
        if (h<student[i].money)  //求学生获得最高奖学金值
        {  
           h=student[i].money;  
           id=i;
         }
    }          
    cout<<student[id].name<<endl;
    cout<<h<<endl;
	cout<<sum<<endl;
    return 0;
}
"
648,"#include <iostream>
#include <string.h>

int main()
{
	char a[100],b[100];
	int ai[100],bi[100],ci[100];
	int lena,lenb;
	int i,j;
	int sumh,carry,maxlen,minlen;
	
	carry=0;
	cin>>a>>b;
	lena=strlen(a);
	lenb=strlen(b);
	minlen=lena>lenb?lenb:lena;
	maxlen=lena>lenb?lena:lenb;
	for(i=0;i<maxlen;i++)
	{
		ai[i]=a[lena-i-1]-'0';
		bi[i]=b[lenb-i-1]-'0';
	}
	for(i=0;i<minlen;i++)
	{
		sumh=ai[i]+bi[i]+carry;
		ci[i]=sumh%10;
		carry=sumh/10;
	}
	if(lena>lenb)
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=ai[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	else
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=bi[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	if(carry>0)
	{
		ci[maxlen]=carry;
		for(i=maxlen;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}
	else
	{
		for(i=maxlen-1;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}

	return 0;
}"
649,"#include<iostream>
#include<cstdio>
using namespace std;
struct NBA
{
	char name[20];
	int year;
}nba[70],temp;

int main()
{
	int n,i,j,m;
	cin>>n;
	for( i=0;i<n;i++)
	{
		cin>>nba[i].name;
		cin>>nba[i].year;
	}

	for( m=1;m<=n;m++)
	{
		for( j=1;j<=n-m;j++)
		{
			if(nba[j-1].year>nba[j].year)
			{
				temp=nba[j-1];
				nba[j-1]=nba[j];
				nba[j]=temp;
			}
		}
	}


	for(i=0;i<n;i++)
	{
		cout<<nba[i].year<<"" ""<<nba[i].name<<endl;
	}
}
"
650,"#include<stdio.h>
#include<string.h>
int main()
{
	char add1[100],add2[100];
	int res[100];
	int c=0,str1,str2,i,j,str3;
	while(scanf(""%s %s"",&add1,&add2)!=EOF){
	int res[100];
	int c=0,str1,str2,i,j,str3;
	str1=strlen(add1);
	str2=strlen(add2);
	if(str1>str2)
	{
		str3=str1;
		for(i=str3-1,j=str2-1;j>=0;j--,i--)
			add2[i]=add2[j];
		while(i>=0)
		{
			add2[i]='0';
			i--;
		}
	}
	else
	{
		str3=str2;
		for(i=str3-1,j=str1-1;j>=0;j--,i--)
			add1[i]=add1[j];
		while(i>=0)
		{
			add1[i]='0';
			i--;
		}
	}
	for(i=str3-1; i>=0; i--)
	{
		res[i]=add1[i]+add2[i]+c-'0'-'0';
		if(res[i]>9)
		{
			res[i]-=10;
			c=1;
		}
		else
			c=0;
	}
	if(c==1)
		printf(""1"");
	for(i=0;i<str3;i++)
		printf(""%d"",res[i]);
	printf(""\n"");
	}
	return 0;
}"
651,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char b[1000];
	scanf(""%d"",&n);
	while(n--)
	{
		i=0;
		gets(b);
		while(b[i]!='\0')
			i++;
		i=i-1;
		for(j=i;j>=0;j--)
		{
			printf(""%c"",b[i--]);
		}
		printf(""\n"");
	}
	return 0;
}
"
652,"#include <iostream>
#include <string.h>
using namespace std;

int main()
{
	char a[100],b[100];
	int ai[100],bi[100],ci[100];
	int lena,lenb;
	int i,j;
	int sumh,carry,maxlen,minlen;
	
	carry=0;
	cin>>a>>b;
	lena=strlen(a);
	lenb=strlen(b);
	minlen=lena>lenb?lenb:lena;
	maxlen=lena>lenb?lena:lenb;
	for(i=0;i<maxlen;i++)
	{
		ai[i]=a[lena-i-1]-'0';
		bi[i]=b[lenb-i-1]-'0';
	}
	for(i=0;i<minlen;i++)
	{
		sumh=ai[i]+bi[i]+carry;
		ci[i]=sumh%10;
		carry=sumh/10;
	}
	if(lena>lenb)
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=ai[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	else
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=bi[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	if(carry>0)
	{
		ci[maxlen]=carry;
		for(i=maxlen;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}
	else
	{
		for(i=maxlen-1;i>=0;i--)
		{
			cout<<ci[i];
		}
		cout<<endl;
	}

	return 0;
}"
653,"#include<iostream>
#include<stdio.h>
#include<string.h>
#include<algorithm>
using namespace std;
int max(int a,int b)
{
   if(a>b)
	   return a;
   else 
	   return b;
}
int main()
{
   char a[100];
   char b[100];
   char c[101];
   int la,lb,temp;
   while(gets(a)&&gets(b)){
	   la=strlen(a);
	   lb=strlen(b);
	   temp=0;
	   int i=0;
       while(i<la&&i<lb){
	       c[i]=(a[i]-'0'+b[i]-'0'+temp)%10+'0';
		   temp=(a[i]-'0'+b[i]-'0'+temp)/10;
		   i++;
	   }
	   while(i<la){
	     c[i]=(a[i]-'0'+temp)%10+'0';
		 i++;
		 temp=(a[i]-'0'+temp)/10;
	   }
        while(i<lb){
	     c[i]=(b[i]-'0'+temp)%10+'0';
		 i++;
		 temp=(b[i]-'0'+temp)/10;
	   }
		for(int j=max(la,lb)-1;j>=0;j--)
            cout<<c[j];
		cout<<endl;
		
   } 
    return 0;
}"
654,"#include<iostream>
#include<cstdio>
using namespace std;
struct MM
{
	char name[100];
	int year;
}ary[1000];
int main()
{
	int n,i,j,t;
    MM ww;
	cin>>n;
	for(i=0;i<n;i++)
	{
	   scanf(""%s %d"",ary[i].name,&ary[i].year);
	}
	for(i=0;i<n-1;i++)
		for(j=0;j<n-1-i;j++)
		{
			if(ary[j].year>ary[j+1].year)
			{
				ww.year = ary[j].year ;
				ary[j].year=ary[j+1].year ;
				ary[j+1].year =ww.year ;
				strcpy(ww.name,ary[j].name ) ;
				strcpy(ary[j].name ,ary[j+1].name ) ;
				strcpy(ary[j+1].name  ,ww.name) ;
			}
		}
		for(i=0;i<n;i++)
			cout<<ary[i].year<<"" ""<<ary[i].name<<endl;
	return 0;
}"
655,"#include<iostream>
#include<stdio.h>
#include<string.h>
using namespace std;
int main()
{
  int n,i,j,k,p;
  char a[1001];
  cin>>n;
  getchar();
  for(i=1;i<=n;i++)
  {  j=0;
    gets(a);
     p=strlen(a);
	 k=p-1;
	while(a[j]==a[k]&&(j<k))
	{
       j++;k--;
	}
    if(j==k||(j-k)==1)
	  cout<<""Yes""<<endl;
	else
	  cout<<""No""<<endl;
  }
  return 0;
}
  
 
"
656,"#include<iostream>
#include<stdio.h>
using namespace std;

int main(){

	int n,i=0,a,b,max,min,mun=0;
	cin>>n;
	while(n--)
	{
		
		
		i=1;
		cin>>b;
		
		max=min=mun=b;
		while((cin>>a)&&a!=-1)	
		{
			mun+=a;
				i++;
				if(a>max)
				{
					max=a;
				}
				if(a<min)
				{
					min=a;
				}

		}
		
		float ss=(float)mun/i;
	cout<<i<<endl<<max<<endl<<min<<endl;
	
	printf(""%.1f\n"",ss);
	
	}
	return 0;
}
"
657,"#include<iostream>
#include<cstdio>
#include<string.h>
using namespace std;
struct MM
{
	char name[100];
	int year;
}ary[1000];
int main()
{
	int n,i,j,t;
    MM ww;
	cin>>n;
	for(i=0;i<n;i++)
	{
	   scanf(""%s %d"",ary[i].name,&ary[i].year);
	}
	for(i=0;i<n-1;i++)
		for(j=0;j<n-1-i;j++)
		{
			if(ary[j].year>ary[j+1].year)
			{
				ww.year = ary[j].year ;
				ary[j].year=ary[j+1].year ;
				ary[j+1].year =ww.year ;
				strcpy(ww.name,ary[j].name ) ;
				strcpy(ary[j].name ,ary[j+1].name ) ;
				strcpy(ary[j+1].name  ,ww.name) ;
			}
		}
		for(i=0;i<n;i++)
			cout<<ary[i].year<<"" ""<<ary[i].name<<endl;
	return 0;
}"
658,"#include<iostream>
using namespace std;

int main()
{

	int n,m,s,a,b,c;
	cin>>n>>m;
	s=n;
	while(s<=m)

	{
			a=s/100;
		b=(s/10)%10;
		c=(s%100)%10;
	
			if(s==(a*a*a+b*b*b+c*c*c))
			{
				cout<<s<<endl;
			}
	     s++;
		
   }
}"
659,"#include <iostream>
#include <string.h>
using namespace std;

int main()
{
	char a[100],b[100];
	int ai[100],bi[100],ci[100];
	int lena,lenb;
	int i,j;
	int sumh,carry,maxlen,minlen;
	
	carry=0;
	cin>>a>>b;
	lena=strlen(a);
	lenb=strlen(b);
	minlen=lena>lenb?lenb:lena;
	maxlen=lena>lenb?lena:lenb;
	for(i=0;i<maxlen;i++)
	{
		ai[i]=a[lena-i-1]-'0';
		bi[i]=b[lenb-i-1]-'0';
	}
	for(i=0;i<minlen;i++)
	{
		sumh=ai[i]+bi[i]+carry;
		ci[i]=sumh%10;
		carry=sumh/10;
	}
	if(lena>lenb)
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=ai[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	else
	{
		for(i=minlen;i<maxlen;i++)
		{
			sumh=bi[i]+carry;
			ci[i]=sumh%10;
			carry=sumh/10;
		}
	}
	if(carry>0)
	{
		ci[maxlen]=carry;
		for(i=maxlen;i>=0;i--)
		{
			if(ci[i]!=0) cout<<ci[i];
		}
		cout<<endl;
	}
	else
	{
		for(i=maxlen-1;i>=0;i--)
		{
			if(ci[i]!=0) cout<<ci[i];
		}
		cout<<endl;
	}

	return 0;
}"
